名称	道具种类	具体类别	详细类别	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	脚本名(参数1)	技能ID（参数1）	参数2(释法类型)	参数3(是否广播)	参数4(是否有等级概念)	参数5(是否可放快捷栏)	使用是否需要目标	物品最大叠放值	要求等级相同	要求五行相同	要求幸运相同	要求MagicLevel1相同	要求MagicLevel2相同	要求MagicLevel3相同	要求MagicLevel4相同	要求MagicLevel5相同	要求MagicLevel6相同
过期的系红丝巾的雪人	6	1	1323	\spr\item\christmas2006\snowman_redscarf.spr	41	1	1	右键点击使用，可以召唤出雪人，并获得一个圣诞蛋糕（使用截止时间到2007年1月15日、限50级以上充卡用户使用）。		1000	1	1	\script\event\christmasday_2006\item\snowman\red.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0
过期的超级雪人	6	1	1324	\spr\item\christmas2006\snowman_normal.spr	41	1	1	右键点击使用，可以召唤出雪人，并获得一个火鸡（使用截止时间到2007年1月15日、限50级以上充卡用户使用）。		1000	1	1	\script\event\christmasday_2006\item\snowman\surper.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0
过期的南瓜馅饼	6	1	1325	\spr\item\christmas2006\pumpkinpie.spr	458	1	1	右键点击使用，可以获得500000经验值（使用截止时间到2007年1月31日、限50级以上充卡用户使用）。		1000	1	1	\script\event\christmasday_2006\item\nangua.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0
过期的圣诞蛋糕	6	1	1326	\spr\item\christmas2006\xmascake.spr	459	1	1	右键点击使用，可以获得1500000经验值（使用截止时间到2007年1月31日、限50级以上充卡用户使用）。		1000	1	1	\script\event\christmasday_2006\item\shengdandangao.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0
过期的火鸡	6	1	1327	\spr\item\christmas2006\turkey.spr	460	1	1	右键点击使用，可以获得3000000经验值（使用截止时间到2007年1月31日、限50级以上充卡用户使用）。		1000	1	1	\script\event\christmasday_2006\item\huoji.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0
祝福卡1	6	1	1328	\spr\item\christmas2006\xmascard1.spr	38	1	1	发送温馨祝福，右键点击使用。		1000	1	0	\script\item\vnchristmas2006\card_zfk.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
祝福卡2	6	1	1329	\spr\item\christmas2006\xmascard2.spr	38	1	1	发送温馨祝福，右键点击使用。		1000	1	0	\script\item\vnchristmas2007\card_zfk.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
祝福卡3	6	1	1330	\spr\item\christmas2006\xmascard3.spr	38	1	1	发送温馨祝福，右键点击使用。		1000	1	0	\script\item\vnchristmas2008\card_zfk.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
祝福卡4	6	1	1331	\spr\item\christmas2006\xmascard4.spr	38	1	1	发送温馨祝福，右键点击使用。		1000	1	0	\script\item\vnchristmas2009\card_zfk.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
祝福卡5	6	1	1332	\spr\item\christmas2006\xmascard5.spr	38	1	1	发送温馨祝福，右键点击使用。		1000	1	0	\script\item\vnchristmas2010\card_zfk.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
特效五花玉露丸锦囊	6	1	1333	\spr\item\obj_item_jixiang.spr	347	1	1	右键点击使用，打开后获得60个<enter>保质期5天的特效五花玉露丸。		20	1	0	\script\item\ib\texiaowuhua_jinnang.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
白金武林荣誉令	6	1	1334	\spr\item\leaguematch\icon_league_platina.spr	385	1	1	白金质地的武林荣誉令牌，使用可以获得<color=green>1000<color>点荣誉点。		500	1	0	\script\missions\leaguematch\item\honour.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
至尊武林荣誉令	6	1	1335	\spr\item\leaguematch\icon_league_top.spr	385	1	1	至高无上的武林荣誉令牌，使用可以获得<color=green>3000<color>点荣誉点。		500	1	0	\script\missions\leaguematch\item\honour.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
野叟留下的箱子	6	1	1336	\spr\item\script\item_goldenbox.spr	367	2	2	野叟留下来的一个箱子，上面镶嵌着各种各样的宝石，非常漂亮，但是谁也不知道里面究竟藏有些什么。		5000	1	0	\script\item\seasonnpc_box.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
女儿红（召唤野叟的酒）	6	1	1337	\spr\item\questkey\taskobj072.spr	41	1	1	绍兴所产名酿，香气扑鼻，色浓味醇,为野叟所最钟爱的酒。<enter><color=green>在城外打开此酒壶即可召唤野叟<color><enter>。		1000	1	0	\script\item\seasonnpc_item.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
120级技能虚宝包	6	1	1338	\spr\item\script\item_chrismasbox.spr	377	1	1	右键点击使用，打开后可以获得<color=green>5个技能福袋、2个旺旺转运包（大）、1个9级玄晶矿石、1个技能大白驹丸礼盒<color>。		100	1	0	\script\item\tw\jinengxubaobao.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
主城奖金礼包	6	1	1339	\spr\item\script\item_chrismasbox.spr	377	1	1	右键点击使用，可以获得1000万剑侠币。		100	1	0	\script\item\tw\maincity_bonus.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
主城宝物礼包	6	1	1340	\spr\item\script\item_chrismasbox.spr	377	1	1	右键点击使用，可以随机得到一个宝物。		100	1	0	\script\item\tw\maincity_gift.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
铁锹	6	1	1341	\spr\item\script\spring2007\tieqiao.spr	41	1	1	挖掘用的工具（右键点击使用）		100	1	0	\script\missions\wabao\missionhead.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
莲蓉什锦年糕	6	1	1342	\spr\item\script\spring2007\lianrongshijin_niangao.spr	41	1	1	食用后可获得100w经验。<enter>（获得经验不叠加）<enter><color=blue>使用截至日期：2007年03月06日<color>		100	1	0	\script\item\springfestival07\xinnian_niangao.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
桂花百果年糕	6	1	1343	\spr\item\script\spring2007\guihuabaiguo_niangao.spr	41	1	1	食用后可获得200w经验。<enter>（获得经验不叠加）<enter><color=blue>使用截至日期：2007年03月06日<color>		100	1	0	\script\item\springfestival07\xinnian_niangao.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
鲤鱼香米年糕	6	1	1344	\spr\item\script\spring2007\liyuxiangmi_niangao.spr	41	1	1	食用后可获得500w经验。<enter>（获得经验不叠加）<enter><color=blue>使用截至日期：2007年03月06日<color>		100	1	0	\script\item\springfestival07\xinnian_niangao.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
新年礼花	6	1	1345	\spr\item\script\spring2007\xinnian_lihua.spr	41	1	1	右键点击使用可燃放礼花5分钟。<enter>在此期间，聚集在礼花周围的队友都可以不断获得经验。<enter>可获得经验上限为1亿。<enter><color=blue>使用截至日期：2007年03月06日<color>		100	1	0	\script\item\springfestival07\xinnian_lihua.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
新年贺卡1	6	1	1346	\spr\item\christmas2006\xmascard5.spr	38	1	1	发送温馨祝福，右键点击使用。		20	1	1	\script\item\springfestival07\xinnian_heka.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
新年贺卡2	6	1	1347	\spr\item\christmas2006\xmascard5.spr	38	1	1	发送温馨祝福，右键点击使用。		20	1	1	\script\item\springfestival07\xinnian_heka.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
新年贺卡3	6	1	1348	\spr\item\christmas2006\xmascard5.spr	38	1	1	发送温馨祝福，右键点击使用。		20	1	1	\script\item\springfestival07\xinnian_heka.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
新年贺卡4	6	1	1349	\spr\item\christmas2006\xmascard5.spr	38	1	1	发送温馨祝福，右键点击使用。		20	1	1	\script\item\springfestival07\xinnian_heka.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
春节红包	6	1	1350	\spr\item\questkey\obj_item_burseb.spr	342	1	1	右键点击使用，可以随机得到一个鞭炮。		20	1	1	\script\item\springfestival07\chunjie_hongbao.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
鞭炮(小)	6	1	1351	\spr\item\ma_chunjie\firecracker.spr	41	1	1	春节喜庆必备用品。<enter>收集多个，可以请礼官帮你做个更高级的鞭炮。		20	1	1	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
鞭炮(中)	6	1	1352	\spr\item\ma_chunjie\firecracker.spr	41	1	1	春节喜庆必备用品。<enter>收集多个，可以请礼官帮你做个更高级的鞭炮。		20	1	1	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
鞭炮(大)	6	1	1353	\spr\item\ma_chunjie\firecracker.spr	41	1	1	春节喜庆必备用品。<enter>收集多个，可以请礼官帮你做个更高级的鞭炮。		20	1	1	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
特效小鞭炮串	6	1	1354	\spr\item\ma_chunjie\firecracker.spr	41	1	1	春节喜庆必备用品。<enter>右键点击使用，可获得10万经验值。		20	1	1	\script\item\springfestival07\bianpao_special_xiao.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
特效中鞭炮串	6	1	1355	\spr\item\ma_chunjie\firecracker.spr	41	1	1	春节喜庆必备用品。<enter>右键点击使用，可获得50万经验值。		20	1	1	\script\item\springfestival07\bianpao_special_zhong.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
特效大鞭炮串	6	1	1356	\spr\item\ma_chunjie\firecracker.spr	41	1	1	春节喜庆必备用品。<enter>右键点击使用，可获得100万经验值。		20	1	1	\script\item\springfestival07\bianpao_special_da.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
普通小鞭炮串	6	1	1357	\spr\item\ma_chunjie\firecracker.spr	41	1	1	春节喜庆必备用品。<enter>右键点击使用，可获得30分钟内打怪练级经验加倍<enter>并有一定概率获得一颗三级玄晶矿石。		20	1	1	\script\item\springfestival07\bianpao_normal_xiao.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
普通中鞭炮串	6	1	1358	\spr\item\ma_chunjie\firecracker.spr	41	1	1	春节喜庆必备用品。<enter>右键点击使用，可获得1小时内打怪练级经验加倍。<enter>并有一定概率获得一颗四级玄晶矿石。		20	1	1	\script\item\springfestival07\bianpao_normal_zhong.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
普通大鞭炮串	6	1	1359	\spr\item\ma_chunjie\firecracker.spr	41	1	1	春节喜庆必备用品。<enter>右键点击使用，可获得1小时内使用者及队友打怪练级经验加倍。<enter>并有一定概率获得一颗五级玄晶矿石。		20	1	1	\script\item\springfestival07\bianpao_normal_da.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
鞭炮	6	1	1360	\spr\item\magic\icon_item_baozhu.spr	41	1	1	端午节活动道具，可以用来攻击其他玩家（右键点击使用）		1000	1	1	\script\missions\springfestival07\item\bianpao.lua	0	1	1	0	1		50	0	0	0	0	0	0	0	0	0
玫瑰花籽	6	1	1361	\spr\item\questkey\seed_rose.spr	330	1	1	右键点击使用，开始培育一个玫瑰树。<enter>培育地图：七大城市、新手村及四大景区<enter>限80级以上用户使用。<enter><color=blue>使用截至日期：2007年02月23日<color>		20	1	0	\script\item\valentine2007\rose_seed.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
完美的红玫瑰	6	1	1362	\spr\item\script\vanlentine2007\pure_rose.spr	330	1	1	右键点击使用，可获得120w经验。<enter>限80级以上用户使用。<enter><color=blue>使用截至日期：2007年03月06日<color>		20	1	0	\script\item\valentine2007\red_rose.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
普通的红玫瑰	6	1	1363	\spr\item\script\vanlentine2007\normal_rose.spr	330	1	1	右键点击使用，可获得80w经验。<enter>限80级以上用户使用。<enter><color=blue>使用截至日期：2007年03月06日<color>		20	1	0	\script\item\valentine2007\red_rose.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
红玫瑰花蕾	6	1	1364	\spr\item\script\vanlentine2007\red_rose.spr	330	1	1	右键点击使用，可获得40w经验。<enter>限80级以上用户使用。<enter><color=blue>使用截至日期：2007年03月06日<color>		20	1	0	\script\item\valentine2007\red_rose.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
武林彩券-单张	6	2	9	\spr\item\lottery\wulincaiquan_red.spr	41	1	1	\script\event\swordlottery\one_lottery_dec.lua		100	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
武林彩券连票-五张	6	2	10	\spr\item\lottery\wulincaiquan_argent.spr	41	1	1	\script\event\swordlottery\five_lottery_dec.lua		100	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
武林彩券卡册	6	2	11	\spr\item\worldcup\dalishen_kace.spr	41	1	1	\script\event\swordlottery\total_lottery_dec.lua		0	1	0	\script\event\swordlottery\total_lottery_main.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
八仙饺子	6	1	1365	\spr\item\lottery\baxianjiaozi.spr	41	1	1	过年常吃的食品，食用后可以获得50万经验值。<enter>限50级以上用户使用。		20	1	0	\script\event\swordlottery\dumpling.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
黄金年糕	6	1	1366	\spr\item\lottery\huangjinniangao.spr	41	1	1	过年常吃的食品，食用后可以获得500万经验值。<enter>限80级以上用户使用。		20	1	0	\script\event\swordlottery\ricecake.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
武林彩券连票-五十张	6	2	12	\spr\item\lottery\wulincaiquan.spr	41	1	1	\script\event\swordlottery\fifth_lottery_dec.lua		100	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
一把残旧的钥匙	6	1	1367	\spr\item\questkey\taskobj092.spr	41	1	1	用来打开宝箱的钥匙，不过看起来似乎随时都可能折断，可要小心使用了。		100	1	1	\script\task\lord\trea_box_key.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0
一把生锈的钥匙	6	1	1368	\spr\item\questkey\taskobj092.spr	41	1	1	用来打开宝箱的钥匙，上面布满了锈，似乎是从哪个水沟里捡来的。<enter>用它来开锁的话，可不要抱太大的希望。		200	1	1	\script\task\lord\trea_box_key.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0
一把普通的钥匙	6	1	1369	\spr\item\questkey\taskobj092-1.spr	41	1	1	用来打开宝箱的钥匙，随便任何一个工匠都能把它打造出来，只要稍微费一点功夫就可以把锁打开。		500	1	1	\script\task\lord\trea_box_key.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0
一把坚固的钥匙	6	1	1370	\spr\item\questkey\taskobj092-1.spr	41	1	1	用来打开宝箱的钥匙，似乎是用生铁打造的，不是一般的工匠能做得出来。<enter>外表看上去很坚固，应该很容易的可以把锁打开。		1000	1	1	\script\task\lord\trea_box_key.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0
一把闪亮的钥匙	6	1	1371	\spr\item\questkey\taskobj092-2.spr	41	1	1	用来打开宝箱的钥匙，看上去似乎是用精银合金打造，理论上应该能打开世间所有的锁。		2000	1	1	\script\task\lord\trea_box_key.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0
技能白驹丸	6	1	1372	\spr\item\medecine\baijuwan_skill.spr	19	1	1	一颗技能白驹丸，使用后可在8小时的离线托管时间内自动提升90级技能的熟练度。		10000	1	0	\script\item\jinengdabaijuwan.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
白驹丸礼包	6	1	1373	\spr\item\script\item_chrismasbox.spr	377	1	1	右键点击使用,可获得5个白驹丸。		10000	1	0	\script\item\xinnianlibao\xinniangift.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
技能白驹丸礼包	6	1	1374	\spr\item\script\item_chrismasbox.spr	377	1	1	右键点击使用,可获得5个技能白驹丸。		10000	1	0	\script\item\xinnianlibao\xinniangift.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
朝廷赦书	6	1	1375	\spr\item\ib\chaotingzhaoshu.spr	341	1	1	右键点击使用，可立即清除当前人物身上所有PK值。		2000	1	1	\script\item\ib\chaotingzhaoshu.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
金石vn	6	1	1376	\spr\item\questkey\golden_stone.spr	347	1	1	用来和10张神秘卷轴一起交给穆老换取黄金宝箱		1000	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
黄金宝箱vn	6	1	1377	\spr\item\script\item_goldenbox.spr	367	2	2	传说中的黄金宝箱，上面雕刻着神秘的花纹。使用后可以随机得到一样物品。<enter>请确保您背包中有足够的空间放置宝物。<enter><color=blue>使用期限：2007年3月31日		1000	1	0	\script\item\vn\goldenbox.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
白银宝箱vn	6	1	1378	\spr\item\script\item_goldenbox.spr	367	2	2	传说中的白银宝箱，上面雕刻着神秘的花纹。使用后可以随机得到一样物品。<enter>请确保您背包中有足够的空间放置宝物。<enter><color=blue>使用期限：2007年3月31日		1000	1	0	\script\item\vn\silverbox.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
特效九转还魂丹锦囊	6	1	1379	\spr\item\obj_item_jixiang.spr	347	1	1	右键点击使用，打开后获得10个<enter>保质期7天的特效九转还魂丹。		20	1	0	\script\item\ib\texiaowuhua_jinnang.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
补天石碎片（特大）	6	1	1380	\spr\item\magic\butianshi_teda.spr	372	1	1	打造顶级装备的必需品。<enter>极难求得的一块石头，传说为女娲补天之石。		20	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
特效大白驹丸礼包	6	1	1381	\spr\item\obj_item_giftb.spr	344	1	1	右键点击使用，可以获得10颗特效大白驹丸。		5	1	0	\script\item\xinnianlibao\xinniangift.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
特效技能大白驹丸礼包	6	1	1382	\spr\item\obj_item_giftb.spr	344	1	1	右键点击使用，可以获得10颗特效大白驹丸。		5	1	0	\script\item\xinnianlibao\xinniangift.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
完美安邦材料包	6	1	1383	\spr\item\obj_item_giftb.spr	344	1	1	右键点击使用，可以获得10颗特效大白驹丸。		5	1	0	\script\item\xinnianlibao\xinniangift.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
百宝箱	6	1	1384	\spr\item\script\item_baibaoxiang.spr	41	1	1	右键点击使用，可获得一个百宝箱。		1000	1	0	\script\item\baibaoxiang.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
清明果	6	1	1385	\spr\item\magicscript\qingming07\qingmingguo.spr	464	1	1	清明节美食，80级以上玩家食用后可获得50w经验。（使用截至期到2007年4月30日）		10000	1	1	\script\event\qingmingjie07\item\qingmingguo.lua	0	1	1	0	1		20	0	0	0	0	0	0	0	0	0
清明饺	6	1	1386	\spr\item\magicscript\qingming07\qingmingjiao.spr	465	1	1	清明节美食，80级以上玩家食用后可获得100w经验。（使用截至期到2007年4月30日）		20	1	1	\script\event\qingmingjie07\item\qingmingjiao.lua	0	1	1	0	1		20	0	0	0	0	0	0	0	0	0
清明粽	6	1	1387	\spr\item\magicscript\qingming07\qingmingzong.spr	466	1	1	清明节美食，80级以上玩家食用后可获得150w经验。（使用截至期到2007年4月30日）		100	1	1	\script\event\qingmingjie07\item\qingmingzong.lua	0	1	1	0	1		20	0	0	0	0	0	0	0	0	0
武林令VN	6	1	1388	\spr\item\questkey\006.spr	336	1	1	武林盟传人向各个帮会收集的令牌。		100	1	1	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
替身纸人	6	1	1389	\spr\item\script\tisheng.spr	41	1	1	一个纸扎的小人，可以替你抵御一次致命伤害（武林联赛、宋金战场、武林第一帮赛等地图内使用无效）。		100000	1	1	\script\item\tisheng.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
《嫁衣神功-基础篇》	6	1	1390	\spr\item\questkey\obj_item_lection.spr	341	1	1	传说中的绝世神功，右键使用可学会嫁衣神功基础。<enter>160级以上角色可使用。		100	1	0	\script\item\jiayi_shengong.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
续筋接脉散锦囊	6	1	1391	\spr\item\twzhuanyun\zhuanyunbao_small.spr	449	1	1	打开锦囊可获得20个<enter>保质期7天的续筋接脉散。		100	1	0	\script\item\ib\xujinjiemai_jinnang.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
闯关礼品盒VN	6	1	1392	\spr\item\obj_item_giftb.spr	344	1	1	右键点击使用，可以随机得到一个宝物。		100	1	0	\script\item\giftbox.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
装货的袋子VN	6	1	1393	\spr\item\twzhuanyun\zhuanyunbao_small.spr	449	1	1	拿到城市小贩处，可以换来做烧饼的原料。		100	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
做饼的原料VN	6	1	1394	\spr\item\mid_autumn\mianfen.spr	41	1	1	右键点击使用，开始制作烧饼。<enter>培育地图：七大城市、新手村及四大景区<enter>限50级以上充值用户使用。<enter><color=blue>使用截至日期：2007年02月23日<color>		100	1	1	\script\item\cookies2007\cookies_ma.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0
完美的烧饼VN	6	1	1395	\spr\item\script\item_shaobing_pure.spr	41	1	1	右键点击使用，可获得80w经验。<enter>限50级以上充值用户使用。<enter><color=blue>使用截至日期：2007年05月06日<color>		100	1	0	\script\item\cookies2007\cookies.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
普通的烧饼VN	6	1	1396	\spr\item\script\item_shaobing_norm.spr	41	1	1	右键点击使用，可获得50w经验。<enter>限50级以上充值用户使用。<enter><color=blue>使用截至日期：2007年05月06日<color>		100	1	0	\script\item\cookies2007\cookies.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
未熟的烧饼VN	6	1	1397	\spr\item\script\item_shaobing_unbk.spr	41	1	1	右键点击使用，可获得30w经验。<enter>限50级以上充值用户使用。<enter><color=blue>使用截至日期：2007年05月06日<color>		100	1	0	\script\item\cookies2007\cookies.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
大补神丹VN	6	1	1398	\spr\item\script\bushendan.spr	372	1	1	右键点击使用，可获得100w经验。		100	1	0	\script\item\bushendan.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
十全大补神丹VN	6	1	1399	\spr\item\script\shiquan_bushendan.spr	372	1	1	右键点击使用，可获得1000w经验。		100	1	0	\script\item\bushendan.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
帮会精英赛令牌	6	1	1400	\spr\item\questkey\taskobj126.spr	41	1	1	该令牌时效已过，不可再用。		100	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
蓬莱仙草露	6	1	1401	\spr\item\medecine\penglaixiancao.spr	370	1	1	右键点击使用，可增加24小时托管经验翻倍效果。<enter>重复使用时间可累计。与仙草露效果不叠加。		100	1	0	\script\item\penglai_xiancao.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
神功大成包	6	1	1402	\spr\item\script\item_chrismasbox.spr	377	1	1	右键点击使用，打开后可以获得<enter><color=green>5个技能福袋、2个旺旺转运包（大）、1个9级玄晶矿石、<enter>1个技能大白驹丸礼盒、1个特效大白驹丸、1枚世足钻戒<color>。		100	1	0	\script\item\tw\jinengxubaobao.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
黄金图谱-侠骨之铁血衫	6	1	1403	\spr\item\script\item_huangjintupu.spr	38	1	1	在柳乙处合成后得到侠骨之铁血衫。<enter><color=yellow>所需材料：<enter>1个补天石碎片（中）<enter>3个补天石碎片（小）		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
黄金图谱-侠骨之多情环	6	1	1404	\spr\item\script\item_huangjintupu.spr	38	1	1	在柳乙处合成后得到侠骨之多情环。<enter><color=yellow>所需材料：<enter>3个补天石碎片（小）		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
黄金图谱-侠骨之丹心戒	6	1	1405	\spr\item\script\item_huangjintupu.spr	38	1	1	在柳乙处合成后得到侠骨之丹心戒。<enter><color=yellow>所需材料：<enter>3个补天石碎片（小）		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
黄金图谱-侠骨之情意结	6	1	1406	\spr\item\script\item_huangjintupu.spr	38	1	1	在柳乙处合成后得到侠骨之情意结。<enter><color=yellow>所需材料：<enter>3个补天石碎片（中）<enter>3个补天石碎片（小）		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
黄金图谱-柔情之巾帼霓裳	6	1	1407	\spr\item\script\item_huangjintupu.spr	38	1	1	在柳乙处合成后得到柔情之巾帼霓裳。<enter><color=yellow>所需材料：<enter>1个补天石碎片（大）<enter>1个补天石碎片（中）<enter>1个补天石碎片（小）		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
黄金图谱-柔情之淑女项链	6	1	1408	\spr\item\script\item_huangjintupu.spr	38	1	1	在柳乙处合成后得到柔情之淑女项链。<enter><color=yellow>所需材料：<enter>3个补天石碎片（小）		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
黄金图谱-柔情之凤仪戒指	6	1	1409	\spr\item\script\item_huangjintupu.spr	38	1	1	在柳乙处合成后得到柔情之凤仪戒指。<enter><color=yellow>所需材料：<enter>3个补天石碎片（小）		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
黄金图谱-柔情之慧心玉佩	6	1	1410	\spr\item\script\item_huangjintupu.spr	38	1	1	在柳乙处合成后得到柔情之慧心玉佩。<enter><color=yellow>所需材料：<enter>1个补天石碎片（中）<enter>3个补天石碎片（小）		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
功劳令VN	6	1	1411	\spr\item\questkey\006.spr	336	1	1	用一个功劳令和一个宋金勋章可以在武林盟传人处换取幸运礼包。		100	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
宋金勋章VN	6	1	1412	\spr\item\questkey\taskobj025.spr	41	1	1	用一个功劳令和一个宋金勋章可以在武林盟传人处换取幸运礼包。		100	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
幸运礼包VN	6	1	1413	\spr\item\obj_item_jixiang.spr	347	1	1	右键点击使用，可以随机得到一个宝物。<enter>限50级以上充值用户使用。<enter><color=blue>使用截至日期：2007年5月13日<color>		100	1	0	\script\item\xingyunlibao.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0
战功花VN	6	1	1414	\spr\item\qixi_2006\huahuan.spr	41	1	1	右键点击使用，可获得150w经验。<enter>限50级以上充值用户使用。<enter>使用可获得的总经验上限为3亿<enter><color=blue>使用截至日期：2007年5月13<color>		2000	1	1	\script\item\zhangonghua.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0
