Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1(0¼¶)	Ä§·¨ÊôÐÔË÷Òý1(10¼¶)	Ä§·¨ÊôÐÔË÷Òý2(0¼¶)	Ä§·¨ÊôÐÔË÷Òý2(10¼¶)	Ä§·¨ÊôÐÔË÷Òý3(0¼¶)	Ä§·¨ÊôÐÔË÷Òý3(10¼¶)	Ä§·¨ÊôÐÔË÷Òý4(0¼¶)	Ä§·¨ÊôÐÔË÷Òý4(10¼¶)	Ä§·¨ÊôÐÔË÷Òý5(0¼¶)	Ä§·¨ÊôÐÔË÷Òý5(10¼¶)	Ä§·¨ÊôÐÔË÷Òý6(0¼¶)	Ä§·¨ÊôÐÔË÷Òý6(10¼¶)	ËùÔÚÌ××°	6¼¶¼¼ÄÜID	10¼¶¼¼ÄÜID	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2
[H¹n chÕ thêi gian] Ngù Long TÊn Phong Ph¸t C¬	0	7	4	\spr\item\equip\cap\obj-ma-cap13-2.spr	28	2	2	Trang bÞ B¹ch Kim	2	99999	10	0	30	360	360	31	85	85																36	120	32	160	39	1							2		311		319		327		420		181		6						
[§Þnh thêi] Ngù Long TuyÖt MÖnh ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ B¹ch Kim	1	2000	10	0																						36	80	39	1									129		130										6						
[§Þnh thêi] V« Gian û Thiªn KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang bÞ B¹ch Kim	0	2000	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	99	32	110	39	4							451		446		445		448		449		461		7						
[H¹n chÕ thêi gian] V« Gian Thanh Phong NhuyÔn KÞch	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	Trang bÞ B¹ch Kim	1	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	4							719		320		718		313		194		193		7						
[§Þnh thêi] V« Gian PhÊt V©n Ty §¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Trang bÞ B¹ch Kim	3	2000	10	0	30	160	160	31	80	80																36	85	32	135	39	4							418		309		196		307		6		425		7						
[§Þnh thêi] V« Gian CÇm VËn Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle10.spr	35	1	2	Trang bÞ B¹ch Kim	1	2000	10	0	30	135	135	31	80	80																36	95	32	110	39	4							2		329		328		88		6		194		7						
[§Þnh thêi] V« Gian B¹ch Ngäc Ban ChØ	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ B¹ch Kim	2	2000	10	0																						36	80	39	4									129		130										7						
[§Þnh thêi] V« Ma Ma Ni Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	Trang bÞ B¹ch Kim	2	2000	10	0	30	315	315	31	85	85																36	85	32	110	39	4							2		307		420		309		6		427		8						
[H¹n chÕ thêi gian] V« YÓm Thu Thñy L­u Quang §¸i	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	Trang bÞ B¹ch Kim	4	99999	10	0	30	140	140	31	80	80																36	120	32	135	39	4							2		88		718		339		195		427		8						
[§Þnh thêi] V« Ma B¨ng Tinh ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ B¹ch Kim	4	2000	10	0	31	80	80																			36	80	39	4									129		130										8						
[§Þnh thêi] V« Ma TÈy T­îng Ngäc KhÊu	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Trang bÞ B¹ch Kim	1	2000	10	0	31	60	60																			36	95	39	4									495		464		496		497		498		499		8						
[§Þnh thêi] V« Ma Hång Tri NhuyÔn Th¸p Hµi	0	5	3	\spr\item\equip\boots\obj-shoes19.spr	27	2	2	Trang bÞ B¹ch Kim	1	2000	10	0	30	140	140	31	80	80																36	99	32	110	39	4							2		320		199		88		8		330		8						
[§Þnh thêi] V« TrÇn Ngäc N÷ Tè T©m Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	Trang bÞ B¹ch Kim	3	2000	10	0	30	315	315	31	85	85																36	90	32	110	39	4							418		309		197		312		421		420		9						
[§Þnh thêi] V« TrÇn Thanh T©m H­íng ThiÖn Ch©u	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	Trang bÞ B¹ch Kim	1	2000	10	0																						36	99	39	4									409		500		501		502		467		503		9						
[§Þnh thêi] V« TrÇn Tõ Bi Ngäc Ban ChØ	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ B¹ch Kim	2	2000	10	0																						36	80	39	4									129		130										9						
[H¹n chÕ thêi gian] V« TrÇn TÞnh ¶nh L­u T«	0	9	0	\spr\item\equip\waist\obj-waist05.spr 	36	1	2	Trang bÞ B¹ch Kim	1	99999	10	0	31	60	60																			36	120	39	4									2		313		718		420		158		201		9						
[§Þnh thêi] V« TrÇn PhËt Quang ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ B¹ch Kim	1	99999	10	0	31	80	80																			36	85	39	4									2		419		6		203		417		115		9						
[§Þnh thêi] Thª Hoµng Phông Nghi §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang bÞ B¹ch Kim	0	2000	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	5							451		446		445		448		449		462		10						
[H¹n chÕ thêi gian] Thª Hoµng HuÖ T©m Tr­êng Sinh KhÊu	0	9	0	\spr\item\equip\waist\obj-waist06.spr	36	1	2	Trang bÞ B¹ch Kim	1	99999	10	0	31	60	60																			36	120	39	5									719		88		718		423		205		207		10						
[§Þnh thêi] Thª Hoµng Phong TuyÕt B¹ch V©n Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash07.spr	32	2	1	Trang bÞ B¹ch Kim	3	2000	10	0	30	160	160	31	80	80																36	85	32	135	39	5							2		309		206		307		6		426		10						
[§Þnh thêi] Thª Hoµng B¨ng Tuy CÈm UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	Trang bÞ B¹ch Kim	1	2000	10	0	30	135	135	31	80	80																36	95	32	110	39	5							2		333		204		88		6		205		10						
[§Þnh thêi] Thª Hoµng Thóy Ngäc ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ B¹ch Kim	2	2000	10	0																						36	80	39	5									129		130										10						
[§Þnh thêi] BÝch H¶i Uyªn ¦¬ng Liªn Hoµn §ao	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	Trang bÞ B¹ch Kim	2	2000	10	0	28	62	62	29	92	92	167	20	20	31	99	99										36	99	32	160	39	5							463		464		465		466		467		462		11						
[H¹n chÕ thêi gian] BÝch H¶i Hoµn Ch©u Tuyªn Thanh C©n	0	7	13	\spr\item\equip\cap\obj-fm-cap19-1.spr	28	2	2	Trang bÞ B¹ch Kim	2	99999	10	0	30	315	315	31	85	85																36	120	39	5									719		312		718		420		291		211		11						
[§Þnh thêi] BÝch H¶i Hång Linh Kim Ty §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	Trang bÞ B¹ch Kim	4	2000	10	0	30	140	140	31	80	80																36	90	32	110	39	5							2		309		210		419		421		422		11						
[§Þnh thêi] BÝch H¶i Hång Linh Ba	0	9	0	\spr\item\equip\waist\obj-waist08.spr	36	1	2	Trang bÞ B¹ch Kim	0	2000	10	0	31	60	60																			36	85	39	5									1		296		8		39		78		282		11						
[§Þnh thêi] BÝch H¶i Tiªm TÕ ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ B¹ch Kim	1	2000	10	0																						36	80	39	5									129		130										11						
[§Þnh thêi] U Lung Kim Xµ Ph¸t §¸i	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Trang bÞ B¹ch Kim	1	2000	10	0	30	315	315	31	85	85																36	99	32	110	39	3							2		302		283		143		6		160		12						
[§Þnh thêi] U Lung XÝch H¹t BÝ Trang	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Trang bÞ B¹ch Kim	2	99999	10	0	30	630	630	31	90	90																36	120	32	135	39	3							616		771		306		423		311		334		12						
[§Þnh thêi] U Lung Thanh Ng« TriÒn Yªu	0	6	1	\spr\item\equip\sash\obj-sash20.spr	32	2	1	Trang bÞ B¹ch Kim	0	2000	10	0	30	140	140	31	80	80																36	80	32	110	39	3							2		309		227		307		6		423		12						
[§Þnh thêi] U Lung Ng©n ThiÒm Hé Thñ	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Trang bÞ B¹ch Kim	4	2000	10	0	30	111	111	31	80	80																36	95	32	90	39	3							129		130										12						
[§Þnh thêi] U Long MÆc Thï NhuyÔn L÷	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bÞ B¹ch Kim	1	2000	10	0	30	140	140	31	60	60																36	85	32	50	39	3							495		504		505		506		507		508		12						
[§Þnh thêi] Minh Hoan Tµ S¸t §éc §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang bÞ B¹ch Kim	2	2000	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	3							455		456		449		458		468		469		13						
[§Þnh thêi] Vô Ho¸n U Cæ ¸m Y	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Trang bÞ B¹ch Kim	0	2000	10	0	30	720	720	31	90	90																36	90	32	260	39	3							2		306		230		317		6		160		13						
[§Þnh thêi] Vô Ho¸n §éc H¹t ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ B¹ch Kim	4	2000	10	0																						36	80	39	3									129		130										13						
[§Þnh thêi] Vô Ho¸n Hñ Cèt Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Trang bÞ B¹ch Kim	3	2000	10	0	30	135	135	31	80	80																36	95	32	110	39	3							2		309		232		307		335		425		13						
[H¹n chÕ thêi gian] Minh Hoan Song Hoµn Xµ KhÊu	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	Trang bÞ B¹ch Kim	4	99999	10	0	30	140	140	31	80	80																36	120	39	3									616		313		718		416		231		230		13						
[§Þnh thêi] Chó Phäc Ph¸ Gi¸p §Çu Hoµn	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Trang bÞ B¹ch Kim	4	2000	10	0	30	315	315	31	85	85																36	85	32	110	39	3							4		337		6		233						14						
[§Þnh thêi] Chó Phäc DiÖt L«i C¶nh Phï	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ B¹ch Kim	3	2000	10	0																						36	99	39	3									409		509		510		502		467		503		14						
[§Þnh thêi] Chó Phäc U Hoan ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ B¹ch Kim	1	2000	10	0																						36	80	39	3									129		130										14						
[§Þnh thêi] Chó Phäc Xuyªn T©m §éc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ B¹ch Kim	2	2000	10	0	30	111	111	31	80	80																36	90	32	90	39	3							418		309		161		312		421		423		14						
[H¹n chÕ thêi gian] Chó Phäc Trïng Cèt Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	Trang bÞ B¹ch Kim	3	99999	10	0	31	60	60																			36	120	39	3									2		312		718		420		236		233		14						
[§Þnh thêi] B¨ng Hµn §µn ChØ Phi §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Trang bÞ B¹ch Kim	0	2000	10	0	28	44	44	29	100	100	167	-20	-20	31	99	99										36	99	32	90	33	110	39	2					451		470		455		456		449		471		15						
[§Þnh thêi] B¨ng Hµn HuyÒn y Thóc Gi¸p	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	23	2	3	Trang bÞ B¹ch Kim	4	2000	10	0	30	720	720	31	90	90																36	95	32	110	33	165	39	2					4		306		212		317						15						
[§Þnh thêi] B¨ng Hµn T©m TiÔn Yªu KhÊu	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	Trang bÞ B¹ch Kim	3	2000	10	0	30	160	160	31	80	80																36	85	32	90	33	110	39	2					418		309		212		307		6		423		15						
[§Þnh thêi] B¨ng Hµn HuyÒn Thiªn B¨ng Háa Béi	0	9	1	\spr\item\equip\waist\obj-waist12.spr	36	1	2	Trang bÞ B¹ch Kim	1	2000	10	0																						36	80	39	2									129		130										15						
[§Þnh thêi] B¨ng Hµn NguyÖt ¶nh Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes08.spr	26	2	2	Trang bÞ B¹ch Kim	2	99999	10	0	30	160	160	31	80	80																36	120	32	90	33	110	39	2					616		320		718		313		213		214		15						
[§Þnh thêi] Thiªn Quang Hoa Vò M¹n Thiªn	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	Trang bÞ B¹ch Kim	0	2000	10	0	28	46	46	29	102	102	167	0	0	31	99	99										36	99	32	65	33	230	39	2					467		446		445		448		449		471		16						
[§Þnh thêi] Thiªn Ngoa §Þnh T©m Ng­ng ThÇn Phï	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Trang bÞ B¹ch Kim	4	2000	10	0																						36	95			39	2							2		317		212		107		8				16						
[§Þnh thêi] Thiªn Ngoa S©m La Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	Trang bÞ B¹ch Kim	3	2000	10	0	30	111	111	31	80	80																36	90	32	90	33	110	39	2					2		309		217		307		6		425		16						
[H¹n chÕ thêi gian] Thiªn Quang §Þa Hµnh Thiªn Lý  Ngoa	0	5	1	\Spr\item\equip\boots\obj-shoes07.spr	26	2	2	Trang bÞ B¹ch Kim	2	99999	10	0	30	160	160	31	80	80																36	120	32	90	33	110	39	2					616		320		718		311		339		216		16						
[§Þnh thêi] Thiªn Ngoa Thóc Thiªn Phäc §Þa Hoµn	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ B¹ch Kim	2	2000	10	0																						36	80			39	2							129		130										16						
[§Þnh thêi] S©m Hoang Phi Tinh §o¹t Hån	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	Trang bÞ B¹ch Kim	0	2000	10	0	28	42	42	29	98	98	167	0	0	31	99	99										36	99	32	90	33	110	39	2					467		446		445		448		449		471		17						
[§Þnh thêi] S©m Hoang Kim TiÒn Liªn Hoµn Gi¸p	0	2	6	\spr\item\equip\armor\obj-ma-cloth20-1.spr	22	2	3	Trang bÞ B¹ch Kim	4	99999	10	0	30	720	720	31	90	90																36	120	32	110	33	165	39	2					616		306		718		313		218		212		17						
[§Þnh thêi] S©m Hoang Hån Gi¶o Yªu Thóc	0	6	0	\spr\item\equip\sash\obj-sash08.spr	32	2	1	Trang bÞ B¹ch Kim	3	2000	10	0	30	160	160	31	80	80																36	85	32	90	33	110	39	2					418		309		219		307		6		423		17						
[§Þnh thêi] S©m Hoang HuyÒn ThiÕt T­¬ng Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist11.spr	34	1	2	Trang bÞ B¹ch Kim	1	2000	10	0																						36	80	39	2									129		130										17						
[§Þnh thêi] S©m Hoang Tinh V©n Phi L÷	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bÞ B¹ch Kim	2	2000	10	0	30	160	160	31	80	80																36	90	32	90	33	110	39	2					4		104		6		340						17						
[§Þnh thêi] §Þa Ph¸ch Ngò Hµnh Liªn Hoµn Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap12-3.spr	28	2	2	Trang bÞ B¹ch Kim	4	2000	10	0	30	315	315	31	85	85																36	85	32	110	39	2							4		341		8		307						18						
[§Þnh thêi] §Þa Ph¸ch H¾c DiÖm Xung Thiªn Liªn	0	4	1	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ B¹ch Kim	3	2000	10	0																						36	95	39	2									495		511		512		502		467		503		18						
[§Þnh thêi] §Þa Ph¸ch TÞch LÞch L«i Háa Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ B¹ch Kim	1	2000	10	0																						36	80	39	2									129		130										18						
[§Þnh thêi] §Þa Ph¸ch KhÊu T©m Träc	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	Trang bÞ B¹ch Kim	2	2000	10	0	30	111	111	31	80	80																36	99	32	90	39	2							418		309		223		307		6		423		18						
[H¹n chÕ thêi gian] §Þa Ph¸ch Phong Hµn Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash05.spr	33	2	1	Trang bÞ B¹ch Kim	0	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	2							616		312		718		420		163		16		18						
[H¹n chÕ thêi gian] §ång Cõu Ngù Long Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bÞ B¹ch Kim	0	99999	10	0	31	60	60																			36	120	39	6									2		307		718		420		342		237		19						
[§Þnh thêi] §ång Cøu Gi¸ng Long C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	Trang bÞ B¹ch Kim	4	2000	10	0	30	500	500	31	80	80																36	90	32	110	39	6							495		492		513		514		505		515		19						
[§Þnh thêi] §ång Cõu TiÒm Long Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	32	2	1	Trang bÞ B¹ch Kim	2	2000	10	0	30	140	140	31	80	80																36	85	32	110	39	6							2		312		239		309		6		420		19						
[§Þnh thêi] §ång Cõu Kh¸ng Long Hé Thñ	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Trang bÞ B¹ch Kim	0	2000	10	0	30	111	111	31	80	80																36	99	32	90	39	6							2		304		240		151		8		164		19						
[§Þnh thêi] §ång Cõu KiÕn Long Ban ChØ	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ B¹ch Kim	4	2000	10	0																						36	80	39	6									129		130										19						
[§Þnh thêi] §Þch Kh¸i Lôc Ngäc Tr­îng	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang bÞ B¹ch Kim	2	2000	10	0	28	69	69	29	128	128	167	-10	-10	31	99	99										36	99	32	180	39	6							455		456		449		458		446		472		20						
[§Þnh thêi] §Þch Kh¸i Cöu §¸i C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	Trang bÞ B¹ch Kim	0	99999	10	0	30	500	500	31	80	80																36	120	32	110	39	6							616		306		718		313		242		289		20						
[§Þnh thêi] §Þch Kh¸i Phôc M·ng Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash05.spr	33	2	1	Trang bÞ B¹ch Kim	4	2000	10	0	30	160	160	31	80	80																36	95	32	135	39	6							2		309		243		312		6		343		20						
[§Þnh thêi] §Þch Kh¸i CÈu TÝch B× Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Trang bÞ B¹ch Kim	3	2000	10	0	30	140	140	31	80	80																36	85	32	110	39	6							4		343		244		312						20						
[§Þnh thêi] §Þch Kh¸i Th¶o Gian Th¹ch Giíi	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ B¹ch Kim	1	2000	10	0																						36	80	39	6									129		130										20						
[§Þnh thêi] Ma S¸t Quû Cèc U Minh Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang bÞ B¹ch Kim	2	2000	10	0	28	18	18	29	158	158	167	30	30	31	99	99										36	99	32	165	33	165	39	7					455		456		460		458		446		473		21						
[§Þnh thêi] Ma S¸t Tµn D­¬ng ¸nh HuyÕt Gi¸p	0	2	16	\spr\item\equip\armor\obj-ma-cloth09-3.spr	23	2	3	Trang bÞ B¹ch Kim	0	2000	10	0	30	720	720	31	90	90																36	90	32	210	39	7							4		306		245		317						21						
[§Þnh thêi] Ma S¸t XÝch Ký Táa Yªu KhÊu	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	Trang bÞ B¹ch Kim	4	2000	10	0	30	160	160	31	80	80																36	85	32	135	39	7							418		309		417		312		6		344		21						
[H¹n chÕ thêi gian] Ma S¸t Cö Háa Liªu Thiªn Hoµn	0	7	3	\Spr\item\equip\cap\obj-ma-cap12-1.spr	28	2	2	Trang bÞ B¹ch Kim	2	99999	10	0	30	315	315	31	85	85																36	120	32	110	39	7							719		311		718		420		246		248		21						
[§Þnh thêi] Ma S¸t V©n Long Thæ Ch©u Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ B¹ch Kim	1	2000	10	0																						36	80	39	7									129		130										21						
[§Þnh thêi] Ma Hoµng Kim Gi¸p Kh«i	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	Trang bÞ B¹ch Kim	0	2000	10	0	30	315	315	31	85	85																36	90	32	110	39	7							409		516		517		518		493		519		22						
[§Þnh thêi] Ma Hoµng ¸n XuÊt Hæ H¹ng Khuyªn	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	Trang bÞ B¹ch Kim	4	2000	10	0	31	60	60																			36	95	39	7									1		60		62		95		87		107		22						
[§Þnh thêi] Ma Hoµng Khª Cèc Thóc Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash18.spr	32	2	1	Trang bÞ B¹ch Kim	3	2000	10	0	30	140	140	31	80	80																36	85	32	110	39	7							2		309		254		312		6		420		22						
[§Þnh thêi] Ma Hoµng HuyÕt Y Thó Träc	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ B¹ch Kim	1	2000	10	0	30	111	111	31	80	80																36	80	32	90	39	7							129		130										22						
[H¹n chÕ thêi gian] Ma Hoµng Dung Kim §o¹n NhËt Giíi	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ B¹ch Kim	4	99999	10	0	31	80	80																			36	120	39	7									2		312		718		420		255		256		22						
[§Þnh thêi] Ma ThÞ LiÖt Háa Qu¸n MiÖn	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	Trang bÞ B¹ch Kim	3	2000	10	0	30	315	315	31	85	85																36	85	32	110	39	7							2		345		250		150		6		165		23						
[H¹n chÕ thêi gian] Ma ThÞ LÖ Ma PhÖ T©m §¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Trang bÞ B¹ch Kim	2	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	7							2		313		718		420		150		115		23						
[§Þnh thêi] Ma ThÞ NghiÖp Háa U Minh Giíi	0	3	0	\spr\item\equip\ring\obj-ring03.spr	37	1	1	Trang bÞ B¹ch Kim	2	2000	10	0																						36	80	39	7									129		130										23						
[§Þnh thêi] Ma ThÞ HuyÕt Ngäc ThÊt S¸t Béi	0	9	1	\spr\item\equip\waist\obj-waist13.spr	34	1	2	Trang bÞ B¹ch Kim	0	2000	10	0																						36	90	39	7									2		309		252		311		6		420		23						
[§Þnh thêi] Ma Hoµng S¬n H¶i Phi Hång L÷	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Trang bÞ B¹ch Kim	4	2000	10	0	30	140	140	31	80	80																36	99	32	110	39	7							409		520		521		518		493		522		23						
[§Þnh thêi] L¨ng Nh¹c Th¸i Cùc KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword22.spr	9	1	3	Trang bÞ B¹ch Kim	4	99999	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	90	32	80	39	8							2		152		6		311		423		167		24						
[H¹n chÕ thêi gian] L¨ng Nh¹c V« Ng· Thóc §¸i	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	Trang bÞ B¹ch Kim	1	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	8							2		88		718		420		263		722		24						
L¨ng Nh¹c Né L«i Giíi (kú h¹n)	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ B¹ch Kim	1	2000	10	0																						36	85	39	8									2		309		265		313		6		417		24						
[§Þnh thêi] L¨ng Nh¹c V« Cùc HuyÒn Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bÞ B¹ch Kim	2	2000	10	0																						36	99	39	8									409		523		524		525		467		526		24						
[§Þnh thêi] L¨ng Nh¹c Thiªn §Þa HuyÒn Hoµng Giíi	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ B¹ch Kim	0	2000	10	0																						36	80	39	8									129		130										24						
[§Þnh thêi] CËp Phong Ch©n Vâ KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang bÞ B¹ch Kim	2	2000	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	99	32	135	39	8							455		456		460		458		446		474		25						
[§Þnh thêi] CËp Phong Tam Thanh Phï	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ B¹ch Kim	0	2000	10	0	31	60	60																			36	95	39	8									2		84		62		95		89		107		25						
