名称	道具种类	具体类别	详细类别	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	基础属性1类型	基础属性1最小值	基础属性1最大值	基础属性2类型	基础属性2最小值	基础属性2最大值	基础属性3类型	基础属性3最小值	基础属性3最大值	基础属性4类型	基础属性4最小值	基础属性4最大值	基础属性5类型	基础属性5最小值	基础属性5最大值	基础属性6类型	基础属性6最小值	基础属性6最大值	基础属性7类型	基础属性7最小值	基础属性7最大值	需求属性1类型	需求属性1数值	需求属性2类型	需求属性2数值	需求属性3类型	需求属性3数值	需求属性4类型	需求属性4数值	需求属性5类型	需求属性5数值	需求属性6类型	需求属性6数值
易容面具-蓝伊伊	0	11	143	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		582	582													44	43200	43200															
易容面具-古柏	0	11	144	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		566	566													44	43200	43200															
易容面具-道清真人	0	11	145	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		562	562													44	43200	43200															
易容面具-耶律辟离	0	11	146	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		563	563													44	43200	43200															
易容面具-完颜雪衣	0	11	147	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		564	564													44	43200	43200															
易容面具-端木睿	0	11	148	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		565	565													44	43200	43200															
易容面具-钟灵秀	0	11	149	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		567	567													44	43200	43200															
易容面具-何怜飘	0	11	150	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		568	568													44	43200	43200															
易容面具-孟沧浪	0	11	151	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		583	583													44	43200	43200															
易容面具-东北虎	0	11	152	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		0	0													44	10080	10080															
易容面具-华南虎	0	11	153	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		1	1													44	10080	10080															
易容面具-白虎	0	11	154	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		2	2													44	10080	10080															
易容面具-金钱豹	0	11	155	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		3	3													44	10080	10080															
易容面具-雪豹	0	11	156	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		4	4													44	43200	43200															
易容面具-灰狼	0	11	157	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		5	5													44	10080	10080															
易容面具-火狼	0	11	158	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		6	6													44	10080	10080															
易容面具-青狼	0	11	159	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		7	7													44	43200	43200															
易容面具-雪狼	0	11	160	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		8	8													44	10080	10080															
易容面具-狐狸	0	11	161	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		9	9													44	10080	10080															
易容面具-红狐	0	11	162	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		10	10													44	10080	10080															
易容面具-野猪	0	11	163	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		11	11													44	10080	10080															
易容面具-刺猬	0	11	164	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		12	12													44	43200	43200															
易容面具-亚洲象	0	11	165	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		13	13													44	43200	43200															
易容面具-黄河象	0	11	166	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		14	14													44	43200	43200															
易容面具-棕熊	0	11	167	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		15	15													44	10080	10080															
易容面具-黑熊	0	11	168	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		16	16													44	10080	10080															
易容面具-野牛	0	11	169	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		17	17													44	43200	43200															
易容面具-扬子鳄	0	11	170	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		18	18													44	10080	10080															
易容面具-火蜥蜴	0	11	171	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		19	19													44	10080	10080															
易容面具-眼镜蟒蛇	0	11	172	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		20	20													44	43200	43200															
易容面具-绿色蟒蛇	0	11	173	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		21	21													44	10080	10080															
易容面具-金环蟒蛇	0	11	174	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		22	22													44	10080	10080															
易容面具-赤练蟒蛇	0	11	175	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		23	23													44	10080	10080															
易容面具-金雕	0	11	176	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		26	26													44	43200	43200															
易容面具-苍鹰	0	11	177	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		25	25													44	43200	43200															
易容面具-秃鹫	0	11	178	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		24	24													44	43200	43200															
易容面具-霸王蝙蝠	0	11	179	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		27	27													44	43200	43200															
易容面具-红霸王蝙蝠	0	11	180	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		28	28													44	43200	43200															
易容面具-溶洞蝙蝠	0	11	181	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		29	29													44	43200	43200															
易容面具-吸血蝙蝠	0	11	182	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		30	30													44	43200	43200															
易容面具-金猫	0	11	183	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		31	31													44	43200	43200															
易容面具-猞猁	0	11	184	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		32	32													44	10080	10080															
易容面具-浣熊	0	11	185	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		33	33													44	10080	10080															
易容面具-灵猫	0	11	186	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		34	34													44	10080	10080															
易容面具-藏域猴	0	11	187	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		35	35													44	10080	10080															
易容面具-灰叶猴	0	11	188	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		36	36													44	10080	10080															
易容面具-黑叶猴	0	11	189	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		37	37													44	10080	10080															
易容面具-金丝猴	0	11	190	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		38	38													44	43200	43200															
易容面具-豺	0	11	191	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		39	39													44	10080	10080															
易容面具-雪怪	0	11	192	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		40	40													44	10080	10080															
易容面具-蛤蟆	0	11	193	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		41	41													44	10080	10080															
易容面具-梅花鹿	0	11	194	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		42	42													44	43200	43200															
易容面具-白猪	0	11	195	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		43	43													44	43200	43200															
易容面具-蝎子	0	11	196	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		44	44													44	10080	10080															
易容面具-蜘蛛	0	11	197	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		45	45													44	10080	10080															
易容面具-蜈蚣	0	11	198	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该动物的样子，使用时间为零后将会自动消失。		100	1	0		46	46													44	10080	10080															
易容面具-圣诞老人(红)	0	11	199	\spr\item\equip\mask\yrmj_02.spr	379	1	1	圣诞节日面具，装备到装备栏中即可变成圣诞老人的样子，使用时间为零后将会自动消失。		100	1	0		623	623													44	7200	7200															
易容面具-圣诞天使(红)	0	11	200	\spr\item\equip\mask\yrmj_02.spr	379	1	1	圣诞节日面具，装备到装备栏中即可变成圣诞天使的样子，使用时间为零后将会自动消失。		100	1	0		624	624													44	7200	7200															
节日面具-大头娃娃	0	11	201	\spr\item\equip\mask\yrmj_02.spr	379	1	1	新春面具，戴上之后，可以装扮成舞扇子的大头娃娃，使用时间为零后将会自动消失。		100	1	0		726	726													44	43200	43200															
节日面具-舞南狮子	0	11	202	\spr\item\equip\mask\yrmj_02.spr	379	1	1	新春面具，戴上之后，可以装扮成南方的舞狮子，使用时间为零后将会自动消失。		100	1	0		727	727													44	43200	43200															
节日面具-舞北狮子	0	11	203	\spr\item\equip\mask\yrmj_02.spr	379	1	1	新春面具，戴上之后，可以装扮成北方的舞狮子，使用时间为零后将会自动消失。		100	1	0		728	728													44	43200	43200															
节日面具-舞龙珠	0	11	204	\spr\item\equip\mask\yrmj_02.spr	379	1	1	新春面具，戴上之后，可以装扮成舞龙珠的人，使用时间为零后将会自动消失。		100	1	0		729	729													44	43200	43200															
节日面具-舞龙头	0	11	205	\spr\item\equip\mask\yrmj_02.spr	379	1	1	新春面具，戴上之后，可以装扮成舞龙头的人，使用时间为零后将会自动消失。		100	1	0		730	730													44	43200	43200															
节日面具-舞龙身	0	11	206	\spr\item\equip\mask\yrmj_02.spr	379	1	1	新春面具，戴上之后，可以装扮成舞龙身的人，使用时间为零后将会自动消失。		100	1	0		731	731													44	43200	43200															
节日面具-舞龙尾	0	11	207	\spr\item\equip\mask\yrmj_02.spr	379	1	1	新春面具，戴上之后，可以装扮成舞龙尾的人，使用时间为零后将会自动消失。		100	1	0		732	732													44	43200	43200															
易容面具-王佐	0	11	208	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		739	739													44	7200	7200															
易容面具-玄觉大师	0	11	209	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	2	1		740	740													44	43200	43200															
易容面具-唐不染	0	11	210	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	3	2		741	741													44	43200	43200															
易容面具-白莹莹	0	11	211	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	4	3		742	742													44	7200	7200															
易容面具-清绝师太	0	11	212	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	5	4		743	743													44	43200	43200															
易容面具-嫣晓倩	0	11	213	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	6	5		744	744													44	7200	7200															
易容面具-何人我	0	11	214	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	7	6		745	745													44	43200	43200															
易容面具-单思南	0	11	215	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	8	7		746	746													44	7200	7200															
易容面具-璇玑子	0	11	216	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	9	8		747	747													44	43200	43200															
易容面具-韩蒙	0	11	217	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	10	9		748	748													44	43200	43200															
单次易容面具-少年雷剑	0	11	218	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1056	1056													44	43200	43200															
单次易容面具-少年笑霜	0	11	219	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1057	1057													44	43200	43200															
单次易容面具-少年火刃	0	11	220	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1058	1058													44	43200	43200															
单次易容面具-少年海棠	0	11	221	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1059	1059													44	43200	43200															
单次易容面具-少年金锋	0	11	222	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1060	1060													44	43200	43200															
易容面具-少年雷剑	0	11	223	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1056	1056													44	43200	43200															
易容面具-少年笑霜	0	11	224	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1057	1057													44	43200	43200															
易容面具-少年火刃	0	11	225	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1058	1058													44	43200	43200															
易容面具-少年海棠	0	11	226	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1059	1059													44	43200	43200															
易容面具-少年金锋	0	11	227	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1060	1060													44	43200	43200															
单次易容面具-青年雷剑	0	11	228	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1043	1043													44	43200	43200															
单次易容面具-青年笑霜	0	11	229	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1044	1044													44	43200	43200															
单次易容面具-青年火刃	0	11	230	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1045	1045													44	43200	43200															
单次易容面具-青年海棠	0	11	231	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1046	1046													44	43200	43200															
单次易容面具-青年金锋	0	11	232	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1047	1047													44	43200	43200															
易容面具-青年雷剑	0	11	233	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1043	1043													44	43200	43200															
易容面具-青年笑霜	0	11	234	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1044	1044													44	43200	43200															
易容面具-青年火刃	0	11	235	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1045	1045													44	43200	43200															
易容面具-青年海棠	0	11	236	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1046	1046													44	43200	43200															
易容面具-青年金锋	0	11	237	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1047	1047													44	43200	43200															
易容面具-成年雷剑	0	11	238	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1061	1061													44	43200	43200															
易容面具-成年笑霜	0	11	239	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1062	1062													44	43200	43200															
易容面具-成年火刃	0	11	240	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1063	1063													44	43200	43200															
易容面具-成年海棠	0	11	241	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1064	1064													44	43200	43200															
易容面具-成年金锋	0	11	242	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1065	1065													44	43200	43200															
易容面具-圣诞精灵(绿)	0	11	243	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1121	1121													44	7200	7200															
易容面具-新年侠客	0	11	244	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1122	1122													44	10080	10080															
易容面具-新年侠女	0	11	245	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1123	1123													44	10080	10080															
易容面具-雪兔	0	11	246	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1124	1124													44	43200	43200															
易容面具-驯鹿	0	11	247	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1125	1125													44	43200	43200															
易容面具-圣诞精灵(蓝)	0	11	248	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1126	1126													44	7200	7200															
易容面具-圣诞精灵(紫)	0	11	249	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1127	1127													44	7200	7200															
易容面具-圣诞精灵(红)	0	11	250	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1128	1128													44	7200	7200															
易容面具-圣诞精灵(黄)	0	11	251	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1129	1129													44	7200	7200															
易容面具-圣诞老人(蓝)	0	11	252	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1130	1130													44	7200	7200															
易容面具-圣诞老人(粉)	0	11	253	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1131	1131													44	7200	7200															
易容面具-圣诞老人(白)	0	11	254	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1132	1132													44	7200	7200															
易容面具-圣诞老人(黄)	0	11	255	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1133	1133													44	7200	7200															
易容面具-圣诞天使(蓝)	0	11	256	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1134	1134													44	7200	7200															
易容面具-圣诞天使(粉)	0	11	257	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1135	1135													44	7200	7200															
易容面具-圣诞天使(白)	0	11	258	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1136	1136													44	7200	7200															
易容面具-圣诞天使(黄)	0	11	259	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1137	1137													44	7200	7200															
易容面具-夏诚	0	11	260	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1138	1138													44	43200	43200															
易容面具-苏词馨	0	11	261	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1139	1139													44	43200	43200															
易容面具-唐天心	0	11	262	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1140	1140													44	43200	43200															
易容面具-年兽	0	11	263	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成年兽的样子，使用时间为零后将会自动消失。		100	1	0		1141	1141													44	43200	43200															
易容面具-夏诚	0	11	264	\spr\item\equip\mask\yrmj_02.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1138	1138													31	10	10															
易容面具-苏词馨	0	11	265	\spr\item\equip\mask\yrmj_02.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1139	1139													31	10	10															
易容面具-唐天心	0	11	266	\spr\item\equip\mask\yrmj_02.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1140	1140													31	10	10															
易容面具-西北山贼首领	0	11	267	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		140	140													44	10080	10080															
易容面具-西南山贼首领	0	11	268	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		141	141													44	10080	10080															
易容面具-江南山贼首领	0	11	269	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		142	142													44	10080	10080															
易容面具-东北山贼首领	0	11	270	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		143	143													44	10080	10080															
易容面具-华北山贼首领	0	11	271	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		144	144													44	10080	10080															
易容面具-南部山贼首领	0	11	272	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		145	145													44	10080	10080															
易容面具-山贼首领	0	11	273	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		148	148													44	10080	10080															
易容面具-西北山贼甲	0	11	274	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		149	149													44	10080	10080															
易容面具-西北山贼乙	0	11	275	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		150	150													44	10080	10080															
易容面具-西南山贼甲	0	11	276	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		151	151													44	10080	10080															
易容面具-西南山贼乙	0	11	277	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		152	152													44	10080	10080															
易容面具-江南山贼甲	0	11	278	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		153	153													44	10080	10080															
易容面具-江南山贼乙	0	11	279	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		154	154													44	10080	10080															
易容面具-华南山贼甲	0	11	280	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		155	155													44	10080	10080															
易容面具-华南山贼乙	0	11	281	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		156	156													44	10080	10080															
